lat_rounded,lon_rounded,district_imputed
48.89,2.33,
48.89,2.35,
48.88,2.32,
48.85,2.31,
48.86,2.27,
48.86,2.35,
48.86,2.37,
48.86,2.38,
48.88,2.37,
48.88,2.33,
48.82,2.35,
48.86,2.36,
48.84,2.35,
48.87,2.36,
48.87,2.37,
48.88,2.31,
48.85,2.37,
48.84,2.36,
48.88,2.29,
48.84,2.33,
48.87,2.35,
48.85,2.4,
48.89,2.32,
48.88,2.36,
48.9,2.34,
48.85,2.29,
48.85,2.32,
48.85,2.34,
48.84,2.29,
48.84,2.34,
48.84,2.26,
48.87,2.4,
48.88,2.35,
48.84,2.28,
48.86,2.39,
48.88,2.34,
48.83,2.33,
48.86,2.4,
48.87,2.38,
48.85,2.39,
48.85,2.38,
48.87,2.39,
48.86,2.32,
48.84,2.41,
48.89,2.34,
48.85,2.27,
48.9,2.35,
48.83,2.35,
48.84,2.3,
48.86,2.34,
48.85,2.3,
48.89,2.36,
48.86,2.31,
48.88,2.28,
48.84,2.39,
48.87,2.32,
48.9,2.32,
48.86,2.3,
48.83,2.34,
48.84,2.32,
48.88,2.4,
48.86,2.28,
48.82,2.34,
48.83,2.4,
48.89,2.38,
48.83,2.32,
48.89,2.39,
48.87,2.28,
48.85,2.36,
48.86,2.33,
48.89,2.31,
48.83,2.36,
48.84,2.4,
48.88,2.39,
48.85,2.33,
48.88,2.38,
48.84,2.38,
48.87,2.34,
48.84,2.31,
48.85,2.41,
48.88,2.3,
48.85,2.35,
48.86,2.29,
48.87,2.29,
48.84,2.27,
48.87,2.31,
48.89,2.37,
48.82,2.33,
48.83,2.37,
48.9,2.33,
48.87,2.33,
48.83,2.3,
48.85,2.28,
48.82,2.36,
48.83,2.29,
48.83,2.31,
48.86,2.41,
48.87,2.27,
48.87,2.3,
48.85,2.26,
48.9,2.38,
48.83,2.38,
48.87,2.41,
48.82,2.37,
48.88,2.41,
48.89,2.29,
48.85,2.24,
48.83,2.41,
48.9,2.37,
48.82,2.32,
48.84,2.37,
48.9,2.39,
48.89,2.3,
48.83,2.28,
48.9,2.36,
48.84,2.25,
48.83,2.39,
48.85,2.25,
48.88,2.26,
48.86,2.26,
48.85,2.42,
13.72,100.59,
-22.98,-43.22,
-33.89,151.27,
40.88,29.09,
41.91,12.47,
22.22,114.21,
41.01,29.01,
41.89,12.52,
41.91,12.54,
41.89,12.54,
19.37,-99.25,
19.34,-99.16,
-33.91,18.4,
-33.89,18.66,
-33.91,18.41,
-22.99,-43.21,
-22.99,-43.19,
-22.97,-43.19,
-22.96,-43.2,
-33.84,151.21,
-33.89,151.26,
-33.81,151.01,
41.05,28.98,
41.92,12.51,
41.91,12.46,
41.91,12.45,
41.88,12.51,
41.9,12.46,
41.9,12.5,
22.3,114.17,
22.29,114.02,
19.39,-99.16,
19.42,-99.16,
-33.89,18.48,
